id,family,spcode,treatment,LA,SLA,LMA,LDMC,leaf_fresh_weight,leaf_dry_weight,leaf_density,LT
1,legume,ec,Harvestatthebeginning,0.00066792,0.014211064,70.36770871,0.3671875,0.13,0.047,na,na
2,legume,ec,Harvestatthebeginning,0.00266348,0.03209012,31.16223888,0.284246575,0.29,0.083,na,na
3,legume,ec,Harvestatthebeginning,0.00106837,0.017806167,56.16031899,0.319148936,0.19,0.06,na,na
4,legume,ec,Harvestatthebeginning,0.00286388,0.032178427,31.07672109,0.307958478,0.29,0.089,na,na
5,legume,ec,ambientrain,0.00424718,0.023336154,42.85196295,0.268041237,0.68,0.182,3.465118298,0.12
6,legume,ec,ambientrain,0.00240549,0.013216978,75.66026049,0.326164875,0.56,0.182,4.11943342,0.18
7,legume,ec,ambientrain,0.00532261,0.010818313,92.43585384,0.313176321,1.57,0.492,2.663857459,0.35
8,legume,ec,ambientrain,0.00197916,0.023284235,42.94751309,0.240112994,0.35,0.085,3.261836437,0.13
9,legume,ec,ambientrain_water_nutrients,0.00142568,0.011225827,89.08029852,0.391975309,0.32,0.127,5.420707821,0.16
10,legume,ec,ambientrain_water_nutrients,0.00900788,0.022078137,45.2936762,0.282157676,1.45,0.408,3.642923019,0.12
11,legume,ec,ambientrain_water_nutrients,0.00505577,0.018794684,53.20653432,0.267130089,1.01,0.269,4.385153927,0.12
12,legume,ec,ambientrain_water_nutrients,0.00525161,0.009311365,107.3956368,0.293444329,1.92,0.564,5.836719389,0.18
13,legume,ec,ambientrain_water,0.00193416,0.011793659,84.7913306,0.382284382,0.43,0.164,5.377885662,0.16
14,legume,ec,ambientrain_water,0.00333823,0.009620259,103.9473014,0.392978482,0.88,0.347,5.883809514,0.18
15,legume,ec,ambientrain_water,0.00350512,0.010686341,93.57739535,0.362030905,0.91,0.328,5.682837774,0.16
16,legume,ec,ambientrain_water,0.00331986,0.009539828,104.8236974,0.390572391,0.89,0.348,6.276868107,0.17
17,legume,ec,ambientrain_nutrients,0.00325307,0.010009446,99.90562761,0.372279496,0.87,0.325,6.270227674,0.16
18,legume,ec,ambientrain_nutrients,0.00310978,0.013821244,72.35238506,0.328467153,0.69,0.225,5.217720076,0.14
19,legume,ec,ambientrain_nutrients,0.00478453,0.011584818,86.31986841,0.405299313,1.02,0.413,4.795548245,0.18
20,legume,ec,ambientrain_nutrients,0.00720167,0.015554363,64.2906437,0.364566929,1.27,0.463,5.212754894,0.12
21,legume,hc,Harvestatthebeginning,0.00190337,0.017303364,57.79223167,0.349206349,0.32,0.11,na,na
22,legume,hc,Harvestatthebeginning,0.00403315,0.014455735,69.17669811,0.340659341,0.82,0.279,na,na
23,legume,hc,Harvestatthebeginning,0.00361249,0.015571078,64.22163106,0.343703704,0.68,0.232,na,na
24,legume,hc,Harvestatthebeginning,0.00357125,0.014942469,66.92334617,0.356184799,0.67,0.239,na,na
25,legume,hc,ambientrain,0.00285499,0.009677932,103.3278575,0.515734266,0.57,0.295,4.633536213,0.22
26,legume,hc,ambientrain,0.00241721,0.009121547,109.6305244,0.539714868,0.49,0.265,5.574433446,0.2
27,legume,hc,ambientrain,0.00248648,0.010026129,99.73939062,0.494023904,0.5,0.248,5.071494439,0.2
28,legume,hc,ambientrain,0.00313212,0.010169221,98.33595137,0.561020036,0.55,0.308,4.876162878,0.2
29,legume,hc,ambientrain_water_nutrients,0.0033313,0.008883467,112.5686669,0.554733728,0.68,0.375,5.628433344,0.2
30,legume,hc,ambientrain_water_nutrients,0.00295571,0.009819635,101.8367837,0.518072289,0.58,0.301,5.169379884,0.2
31,legume,hc,ambientrain_water_nutrients,0.0036494,0.009192443,108.7850058,0.549100968,0.72,0.397,4.92239845,0.22
32,legume,hc,ambientrain_water_nutrients,0.00445663,0.009970089,100.3000025,0.528994083,0.85,0.447,4.776190594,0.21
33,legume,hc,ambientrain_water,0.005127,0.011521348,86.79539692,0.47542735,0.94,0.445,4.940914436,0.18
34,legume,hc,ambientrain_water,0.00271665,0.010529651,94.96990779,0.469945355,0.55,0.258,4.610189699,0.21
35,legume,hc,ambientrain_water,0.00334359,0.010010749,99.89263038,0.478510029,0.7,0.334,4.734247885,0.21
36,legume,hc,ambientrain_water,0.00266437,0.010572897,94.58145828,0.513238289,0.49,0.252,5.206318804,0.18
37,legume,hc,ambientrain_nutrients,0.0025982,0.010269565,97.37510584,0.489361702,0.52,0.253,5.019335353,0.19
38,legume,hc,ambientrain_nutrients,0.00475141,0.009796722,102.074963,0.524891775,0.92,0.485,5.372366474,0.19
39,legume,hc,ambientrain_nutrients,0.00282922,0.010068399,99.32066082,0.49471831,0.57,0.281,4.692314684,0.21
40,legume,hc,ambientrain_nutrients,0.00274951,0.009854875,101.472626,0.547058824,0.51,0.279,5.732916725,0.18
41,nonlegume,sg,Harvestatthebeginning,0.00309599,0.028934486,34.56083514,0.231601732,0.46,0.107,na,na
42,nonlegume,sg,Harvestatthebeginning,0.00326405,0.017739402,56.37168548,0.326241135,0.56,0.184,na,na
43,nonlegume,sg,Harvestatthebeginning,0.00313565,0.018445,54.21523448,0.285714286,0.6,0.17,na,na
44,nonlegume,sg,Harvestatthebeginning,0.0030155,0.018729814,53.39081413,0.300934579,0.54,0.161,na,na
45,nonlegume,sg,ambientrain,0.00461617,0.012277048,81.45280611,0.394543547,0.95,0.376,3.065977645,0.27
46,nonlegume,sg,ambientrain,0.0039184,0.010284514,97.23356472,0.45035461,0.85,0.381,3.489242753,0.28
47,nonlegume,sg,ambientrain,0.00198826,0.019492745,51.30113768,0.295652174,0.35,0.102,2.860658235,0.18
48,nonlegume,sg,ambientrain,0.00452874,0.011980794,83.46692458,0.413114754,0.92,0.378,3.72620199,0.22
49,nonlegume,sg,ambientrain_water_nutrients,0.00455177,0.009443506,105.8928724,0.424669604,1.14,0.482,4.169010726,0.25
50,nonlegume,sg,ambientrain_water_nutrients,0.00522997,0.011444136,87.38099836,0.402998236,1.13,0.457,3.697362413,0.24
51,nonlegume,sg,ambientrain_water_nutrients,0.00343193,0.01110657,90.03680145,0.399224806,0.77,0.309,4.061810592,0.22
52,nonlegume,sg,ambientrain_water_nutrients,0.00387228,0.011095358,90.12778002,0.421497585,0.83,0.349,4.03557224,0.22
53,nonlegume,sg,ambientrain_water,0.00522984,0.012481718,80.11717376,0.394538606,1.06,0.419,3.791033459,0.21
54,nonlegume,sg,ambientrain_water,0.00354047,0.010537113,94.90265417,0.436931079,0.77,0.336,4.340060404,0.22
55,nonlegume,sg,ambientrain_water,0.00338721,0.00903256,110.7105848,0.46641791,0.8,0.375,4.927770838,0.22
56,nonlegume,sg,ambientrain_water,0.00394133,0.011391127,87.78762499,0.416365824,0.83,0.346,4.331626233,0.2
57,nonlegume,sg,ambientrain_nutrients,0.0037682,0.010986006,91.02489252,0.417783191,0.82,0.343,3.917857641,0.23
58,nonlegume,sg,ambientrain_nutrients,0.00483673,0.010537538,94.89882627,0.427374302,1.07,0.459,4.255552748,0.22
59,nonlegume,sg,ambientrain_nutrients,0.00350496,0.009103792,109.8443349,0.43258427,0.89,0.385,4.721103219,0.23
60,nonlegume,sg,ambientrain_nutrients,0.00291498,0.009652252,103.6027691,0.433908046,0.7,0.302,4.632016504,0.22
61,nonlegume,sm,Harvestatthebeginning,0.00527302,0.019174618,52.15227706,0.301866081,0.91,0.275,na,na
62,nonlegume,sm,Harvestatthebeginning,0.00411261,0.020876193,47.90145431,0.290132548,0.68,0.197,na,na
63,nonlegume,sm,Harvestatthebeginning,0.00478737,0.02323966,43.02988906,0.289325843,0.71,0.206,na,na
64,nonlegume,sm,Harvestatthebeginning,0.00582326,0.016733506,59.76034043,0.309058615,1.13,0.348,na,na
65,nonlegume,sm,ambientrain,0.00195505,0.01136657,87.97728958,0.487252125,0.35,0.172,3.915903097,0.22
