id,spcode,family,treatment,amax,gs,WUE
5,ec,legume,ambientrain,23.42,0.177,12.682
6,ec,legume,ambientrain,23.543,0.257,7.296
7,ec,legume,ambientrain,21.427,0.21,8.928
8,ec,legume,ambientrain,23.673,0.193,11.492
9,ec,legume,ambientrain+water+nutrients,19.67,0.257,4.574
10,ec,legume,ambientrain+water+nutrients,21.95,0.267,5.023
11,ec,legume,ambientrain+water+nutrients,20.013,0.267,4.562
12,ec,legume,ambientrain+water+nutrients,22.553,0.29,4.924
13,ec,legume,ambientrain+water,20.657,0.34,4.58
14,ec,legume,ambientrain+water,25.467,0.47,4.502
15,ec,legume,ambientrain+water,23.6,0.457,4.346
16,ec,legume,ambientrain+water,24.313,0.417,4.655
17,ec,legume,ambientrain+nutrients,18.647,0.247,4.408
18,ec,legume,ambientrain+nutrients,23.04,0.35,4.553
19,ec,legume,ambientrain+nutrients,20.405,0.33,5.153
25,hc,legume,ambientrain,7.26,0.23,1.665
26,hc,legume,ambientrain,8.203,0.107,3.221
27,hc,legume,ambientrain,5.457,0.06,3.355
28,hc,legume,ambientrain,5.557,0.07,2.977
29,hc,legume,ambientrain+water+nutrients,9.64,0.263,2.206
30,hc,legume,ambientrain+water+nutrients,8.9,0.297,1.926
31,hc,legume,ambientrain+water+nutrients,6.713,0.233,1.635
32,hc,legume,ambientrain+water+nutrients,4.017,0.08,2.883
33,hc,legume,ambientrain+water,6.547,0.337,1.352
34,hc,legume,ambientrain+water,7.363,0.31,1.6
35,hc,legume,ambientrain+water,7.927,0.34,1.637
36,hc,legume,ambientrain+water,9.083,0.353,1.875
37,hc,legume,ambientrain+nutrients,7.027,0.207,1.909
38,hc,legume,ambientrain+nutrients,7.707,0.243,1.908
39,hc,legume,ambientrain+nutrients,9.503,0.243,2.364
40,hc,legume,ambientrain+nutrients,5.82,0.105,3.404
45,sg,nonlegume,ambientrain,3.287,0.05,3.062
46,sg,nonlegume,ambientrain,3.267,0.07,2.67
47,sg,nonlegume,ambientrain,2.56,0.067,2.286
48,sg,nonlegume,ambientrain,5.027,0.07,3.968
49,sg,nonlegume,ambientrain+water+nutrients,3.127,0.09,1.975
50,sg,nonlegume,ambientrain+water+nutrients,3.42,0.157,1.283
51,sg,nonlegume,ambientrain+water+nutrients,3.55,0.16,1.282
52,sg,nonlegume,ambientrain+water+nutrients,3.47,0.19,1.087
53,sg,nonlegume,ambientrain+water,3.33,0.31,0.736
54,sg,nonlegume,ambientrain+water,5.327,0.327,1.133
55,sg,nonlegume,ambientrain+water,5.283,0.293,1.18
57,sg,nonlegume,ambientrain+nutrients,5.317,0.11,2.76
