id,spcode,family,Treatment,perc_c,perc_n,ratio_c_n,d13C,d15N
2,ec,Legume,Harvestatthebeginning,44.89694918,3.813974549,11.77169606,-28.75512251,3.479526016
3,ec,Legume,Harvestatthebeginning,43.48614493,3.678628314,11.82129349,-28.40474279,3.661578889
4,ec,Legume,Harvestatthebeginning,46.45262777,3.73280147,12.44444103,-29.73064153,4.059857733
5,ec,Legume,ambientrain,49.18635766,4.695560309,10.4750774,-29.52088396,-0.19694243
6,ec,Legume,ambientrain,49.81428199,4.598366328,10.83303905,-29.39493394,-1.773847203
7,ec,Legume,ambientrain,49.64604181,4.859879539,10.21548814,-28.95119752,-1.093247029
8,ec,Legume,ambientrain,48.92904501,5.298429775,9.234631218,-29.91483595,-0.179942429
9,ec,Legume,ambientrain_water_nutrients,48.67233689,3.937740419,12.3604737,-30.2786471,-1.568998532
10,ec,Legume,ambientrain_water_nutrients,49.74895542,4.661884862,10.67142516,-29.10112818,-0.352452735
11,ec,Legume,ambientrain_water_nutrients,47.88226218,5.026472746,9.526016473,-29.0963584,-0.312187065
12,ec,Legume,ambientrain_water_nutrients,48.60165569,4.076749782,11.92166757,-28.80535816,-1.817440124
13,ec,Legume,ambientrain_water,48.5542108,3.810336068,12.74276335,-29.4460249,-1.673425913
14,ec,Legume,ambientrain_water,47.20086691,3.381582244,13.95821941,-31.03808581,-2.276448165
15,ec,Legume,ambientrain_water,48.0244909,4.235728737,11.33795242,-30.47394266,-2.279756646
16,ec,Legume,ambientrain_water,48.47868427,4.144394015,11.697412,-29.71990504,-2.009913839
17,ec,Legume,ambientrain_nutrients,47.02339416,2.371307187,19.83015715,-28.14545799,-0.535853787
18,ec,Legume,ambientrain_nutrients,48.16258491,4.441288698,10.84428151,-29.42725173,-0.431310018
19,ec,Legume,ambientrain_nutrients,48.2184906,3.955442473,12.19041635,-29.02130117,-1.849890326
20,ec,Legume,ambientrain_nutrients,49.68528459,4.726667647,10.51169414,-28.80306122,-0.379501742
21,hc,Legume,Harvestatthebeginning,49.82861568,2.073237799,24.03420182,-28.24961115,3.379007267
