id,spcode,family,Treatment,perc_c,perc_n
5,ec,Legume,ambientrain,49.18635766,4.695560309
6,ec,Legume,ambientrain,49.81428199,4.598366328
7,ec,Legume,ambientrain,49.64604181,4.859879539
8,ec,Legume,ambientrain,48.92904501,5.298429775
9,ec,Legume,ambientrain_water_nutrients,48.67233689,3.937740419
10,ec,Legume,ambientrain_water_nutrients,49.74895542,4.661884862
11,ec,Legume,ambientrain_water_nutrients,47.88226218,5.026472746
12,ec,Legume,ambientrain_water_nutrients,48.60165569,4.076749782
13,ec,Legume,ambientrain_water,48.5542108,3.810336068
14,ec,Legume,ambientrain_water,47.20086691,3.381582244
15,ec,Legume,ambientrain_water,48.0244909,4.235728737
16,ec,Legume,ambientrain_water,48.47868427,4.144394015
17,ec,Legume,ambientrain_nutrients,47.02339416,2.371307187
18,ec,Legume,ambientrain_nutrients,48.16258491,4.441288698
19,ec,Legume,ambientrain_nutrients,48.2184906,3.955442473
20,ec,Legume,ambientrain_nutrients,49.68528459,4.726667647
25,hc,Legume,ambientrain,51.50230522,1.050366494
26,hc,Legume,ambientrain,51.00275462,1.121065798
27,hc,Legume,ambientrain,52.07309016,1.307077414
28,hc,Legume,ambientrain,51.54681993,1.482535786
29,hc,Legume,ambientrain_water_nutrients,50.7572759,1.266659435
30,hc,Legume,ambientrain_water_nutrients,51.53264222,1.584069126
31,hc,Legume,ambientrain_water_nutrients,51.50580815,1.515091799
32,hc,Legume,ambientrain_water_nutrients,51.9945869,1.665038307
33,hc,Legume,ambientrain_water,51.59273446,1.256119592
34,hc,Legume,ambientrain_water,50.90681612,1.25942931
35,hc,Legume,ambientrain_water,52.00291894,1.645745897
36,hc,Legume,ambientrain_water,51.72139901,1.301443902
37,hc,Legume,ambientrain_nutrients,51.28413966,1.889414554
38,hc,Legume,ambientrain_nutrients,51.58014882,1.766286148
39,hc,Legume,ambientrain_nutrients,49.60349478,1.590026809
40,hc,Legume,ambientrain_nutrients,51.25023218,1.594383488
45,sg,nonlegume,ambientrain,46.01210018,0.925810044
46,sg,nonlegume,ambientrain,45.28257346,0.866746702
47,sg,nonlegume,ambientrain,45.95140304,1.489900902
48,sg,nonlegume,ambientrain,45.45546692,0.88962987
49,sg,nonlegume,ambientrain_water_nutrients,45.17353446,1.140377011
50,sg,nonlegume,ambientrain_water_nutrients,45.72845368,1.233867372
51,sg,nonlegume,ambientrain_water_nutrients,45.34576108,1.143979533
52,sg,nonlegume,ambientrain_water_nutrients,44.89943154,1.15021034
53,sg,nonlegume,ambientrain_water,46.15869896,0.871795696
54,sg,nonlegume,ambientrain_water,45.15323145,0.840656545
55,sg,nonlegume,ambientrain_water,45.33000572,0.944122245
56,sg,nonlegume,ambientrain_water,45.3441129,0.942828814
57,sg,nonlegume,ambientrain_nutrients,46.03299393,1.148404365
58,sg,nonlegume,ambientrain_nutrients,46.1058932,1.056305057
59,sg,nonlegume,ambientrain_nutrients,45.48307181,1.126565468
60,sg,nonlegume,ambientrain_nutrients,46.27616291,1.025055571
65,sm,nonlegume,ambientrain,46.13865795,1.163708078
66,sm,nonlegume,ambientrain,45.53739626,0.889542391
67,sm,nonlegume,ambientrain,47.09775327,1.024192382
68,sm,nonlegume,ambientrain,46.27775473,0.911843975
69,sm,nonlegume,ambientrain_water_nutrients,46.3847602,1.080700542
70,sm,nonlegume,ambientrain_water_nutrients,45.89802752,1.320417652
71,sm,nonlegume,ambientrain_water_nutrients,46.33359628,1.039197476
72,sm,nonlegume,ambientrain_water_nutrients,45.88828676,1.112435416
73,sm,nonlegume,ambientrain_water,46.73211655,0.891603852
74,sm,nonlegume,ambientrain_water,45.818347,0.71980113
75,sm,nonlegume,ambientrain_water,47.0158841,1.020383855
76,sm,nonlegume,ambientrain_water,46.94622956,0.826544098
