id,spcode,treatment,root_dry_weight,stem_dry_weight,whole_leaf_dry_weight
5,ec,ambientrain,1.661,0.923,1.331
6,ec,ambientrain,2.993,1.643,1.648
7,ec,ambientrain,3.247,0.992,1.559
8,ec,ambientrain,1.879,0.822,1.156
9,ec,ambientrain_water_nutrients,2.533,1.331,1.11
10,ec,ambientrain_water_nutrients,8.827,2.829,3.399
11,ec,ambientrain_water_nutrients,4.379,2.174,2.369
12,ec,ambientrain_water_nutrients,6.097,2.993,2.496
13,ec,ambientrain_water,3.866,1.753,1.887
14,ec,ambientrain_water,3.945,1.952,1.632
15,ec,ambientrain_water,3.972,1.891,1.503
16,ec,ambientrain_water,4.377,1.444,1.508
17,ec,ambientrain_nutrients,7.377,2.681,2.332
18,ec,ambientrain_nutrients,3.003,1.116,2.099
19,ec,ambientrain_nutrients,7.823,2.467,2.586
20,ec,ambientrain_nutrients,5.344,2.418,3.407
25,hc,ambientrain,4.625,2.5,2.807
26,hc,ambientrain,4.595,2.6,2.705
27,hc,ambientrain,3.076,2.732,2.099
28,hc,ambientrain,3.907,2.416,2.357
29,hc,ambientrain_water_nutrients,3.93,2.075,2.721
30,hc,ambientrain_water_nutrients,4.956,2.152,2.442
31,hc,ambientrain_water_nutrients,4.23,4.215,3.493
32,hc,ambientrain_water_nutrients,6.373,3.504,3.274
33,hc,ambientrain_water,6.503,3.713,3.386
34,hc,ambientrain_water,4.364,3.468,2.696
35,hc,ambientrain_water,6.186,2.959,2.515
36,hc,ambientrain_water,3.48,2.804,2.3
37,hc,ambientrain_nutrients,2.875,2.981,2.622
38,hc,ambientrain_nutrients,8.414,3.707,3.294
39,hc,ambientrain_nutrients,3.08,2.713,2.224
40,hc,ambientrain_nutrients,4.08,2.803,2.704
45,sg,ambientrain,2.302,0.709,2.264
46,sg,ambientrain,1.906,0.467,2.76
47,sg,ambientrain,0.671,0.303,0.751
48,sg,ambientrain,2.224,0.758,2.477
49,sg,ambientrain_water_nutrients,3.266,1.024,3.653
50,sg,ambientrain_water_nutrients,2.181,0.801,3.131
51,sg,ambientrain_water_nutrients,2.502,1.027,3.203
52,sg,ambientrain_water_nutrients,1.701,0.861,2.878
53,sg,ambientrain_water,2.036,0.789,2.457
54,sg,ambientrain_water,1.743,0.63,2.404
55,sg,ambientrain_water,1.425,0.763,2.204
