id,spcode,family,treatment,20150831,20150919,20151004,20151017,20151031,20151115,20151124
5,ec,Legume,ambientrain,17,22.5,25,30.5,32.5,33,34.5
6,ec,Legume,ambientrain,25,28,33,39.5,44,44,45
7,ec,Legume,ambientrain,14,17.5,23,28,28.5,29,32
8,ec,Legume,ambientrain,16,19.5,22.5,24.5,24.5,25.5,30.5
9,ec,Legume,ambientrain_water_nutrients,20.5,22.5,29.5,35.5,40,41.5,41.5
10,ec,Legume,ambientrain_water_nutrients,21,25.5,32.5,40,42,52,57
11,ec,Legume,ambientrain_water_nutrients,24,26,30,35,40,43.5,46
12,ec,Legume,ambientrain_water_nutrients,25.5,30.5,44.5,53.5,58.5,59,59.5
13,ec,Legume,ambientrain_water,20,22.5,27,33,35,35.5,36.5
14,ec,Legume,ambientrain_water,20,26,35.5,44,46,47,47
15,ec,Legume,ambientrain_water,23,28,32,39,41,41.5,41.5
16,ec,Legume,ambientrain_water,24.5,27.5,33,40.5,43,43,43
17,ec,Legume,ambientrain_nutrients,24.5,31,43,47.5,53,53,54
18,ec,Legume,ambientrain_nutrients,13.5,16,21.5,24,30,35.5,40.5
19,ec,Legume,ambientrain_nutrients,17,23.5,35.5,42,51,52,52.5
20,ec,Legume,ambientrain_nutrients,22,28,34.5,43.5,48.5,57.5,63
25,hc,Legume,ambientrain,29,34.5,37.5,39,39,39,39
26,hc,Legume,ambientrain,26,31,35.5,36,38,38,38
27,hc,Legume,ambientrain,32,39,43.5,43.5,43.5,43.5,43.5
28,hc,Legume,ambientrain,19,25,29.5,29.5,29.5,29.5,29.5
29,hc,Legume,ambientrain_water_nutrients,24,25,28,30,31,33.5,33.5
30,hc,Legume,ambientrain_water_nutrients,25,27.5,29.5,35.5,35.5,35.5,36
31,hc,Legume,ambientrain_water_nutrients,38,41,45,49.5,52,52,52
32,hc,Legume,ambientrain_water_nutrients,32,36,40,40,41,41,41
33,hc,Legume,ambientrain_water,32,41,47,47,47,47,47
34,hc,Legume,ambientrain_water,28,28,36,39,39,39,39
35,hc,Legume,ambientrain_water,26,34,37,39,40.5,41.5,41.5
36,hc,Legume,ambientrain_water,27,32,38.5,39,39,39,39
37,hc,Legume,ambientrain_nutrients,28,37,43.5,46,46,46,46
38,hc,Legume,ambientrain_nutrients,31,39,44,44,45,45,45
39,hc,Legume,ambientrain_nutrients,29,35,38.5,41,45,45,45
40,hc,Legume,ambientrain_nutrients,27,31,31,31,32.5,32.5,32.5
45,sg,nonlegume,ambientrain,9.5,10.5,11,11,11,11.5,11.5
46,sg,nonlegume,ambientrain,7,7.5,8,8,8.5,8.5,8.5
47,sg,nonlegume,ambientrain,8.5,9.5,10,10,10,10.5,10.5
48,sg,nonlegume,ambientrain,13,13,13,13,13,13,13.5
49,sg,nonlegume,ambientrain_water_nutrients,9,10,10.5,11,11.5,11.5,11.5
50,sg,nonlegume,ambientrain_water_nutrients,8,9.5,11,11.5,12,12.5,13
51,sg,nonlegume,ambientrain_water_nutrients,10,10.5,11.5,11.5,12,12,13
52,sg,nonlegume,ambientrain_water_nutrients,11.5,12,13,13,13.5,14,14
53,sg,nonlegume,ambientrain_water,10,11.5,12,12,12,12.5,12.5
54,sg,nonlegume,ambientrain_water,7.5,9,10,10.5,10.5,10.5,10.5
