ID,sppcode,Treatment,Height (cm),Soil moisture (% water content) before watering,Soil moisture  (% water content) after watering,Date day_month
5,ec,ambient rain,17,31.5,21.9,31_08
6,ec,ambient rain,25,25.8,25.4,31_08
7,ec,ambient rain,14,26.5,25.8,31_08
8,ec,ambient rain,16,29,22.5,31_08
9,ec,ambient rain + water + nutrients,20.5,30.3,28.8,31_08
10,ec,ambient rain + water + nutrients,21,32.8,28.8,31_08
11,ec,ambient rain + water + nutrients,24,25.8,32.4,31_08
12,ec,ambient rain + water + nutrients,25.5,20.8,28.5,31_08
13,ec,ambient rain + water,20,27.9,31.2,31_08
14,ec,ambient rain + water,20,31.4,33.6,31_08
15,ec,ambient rain + water,23,22.4,25.6,31_08
16,ec,ambient rain + water,24.5,30,29,31_08
17,ec,ambient rain + nutrients,24.5,34.7,30.3,31_08
18,ec,ambient rain + nutrients,13.5,28.2,29,31_08
19,ec,ambient rain + nutrients,17,34.5,31.4,31_08
20,ec,ambient rain + nutrients,22,29,31.8,31_08
25,hc,ambient rain,29,24.5,11.4,31_08
26,hc,ambient rain,26,26.2,20,31_08
27,hc,ambient rain,32,38.6,32,31_08
28,hc,ambient rain,19,29.2,26,31_08
29,hc,ambient rain + water + nutrients,24,34.6,28.1,31_08
30,hc,ambient rain + water + nutrients,25,36.7,33.8,31_08
31,hc,ambient rain + water + nutrients,38,19.6,25.2,31_08
32,hc,ambient rain + water + nutrients,32,17.2,24.2,31_08
33,hc,ambient rain + water,32,19.6,32.8,31_08
34,hc,ambient rain + water,28,37,20.6,31_08
35,hc,ambient rain + water,26,20,33.4,31_08
36,hc,ambient rain + water,27,27.4,37.2,31_08
37,hc,ambient rain + nutrients,28,37.8,20.2,31_08
38,hc,ambient rain + nutrients,31,24,23.4,31_08
39,hc,ambient rain + nutrients,29,34.4,31.4,31_08
40,hc,ambient rain + nutrients,27,31.7,18.3,31_08
45,sg,ambient rain,9.5,29,22.5,31_08
46,sg,ambient rain,7,43.6,37.4,31_08
47,sg,ambient rain,8.5,39.2,32.6,31_08
48,sg,ambient rain,13,31.8,27.4,31_08
49,sg,ambient rain + water + nutrients,9,30,33,31_08
50,sg,ambient rain + water + nutrients,8,30.6,32.8,31_08
51,sg,ambient rain + water + nutrients,10,35.1,28.9,31_08
52,sg,ambient rain + water + nutrients,11.5,29.4,35.6,31_08
53,sg,ambient rain + water,10,36.2,38.2,31_08
54,sg,ambient rain + water,7.5,40.6,35.9,31_08
55,sg,ambient rain + water,11,30.8,33.6,31_08
56,sg,ambient rain + water,10,27.2,37.8,31_08
57,sg,ambient rain + nutrients,11,30.4,14.7,31_08
58,sg,ambient rain + nutrients,6.5,40.6,34.8,31_08
59,sg,ambient rain + nutrients,8.5,31.1,29.4,31_08
60,sg,ambient rain + nutrients,11,33.8,27.9,31_08
65,sm,ambient rain,16,36.8,27.8,31_08
66,sm,ambient rain,20,28.9,27.1,31_08
67,sm,ambient rain,19.5,39.8,32.2,31_08
68,sm,ambient rain,23,39.7,34.2,31_08
69,sm,ambient rain + water + nutrients,16.5,35.6,35,31_08
70,sm,ambient rain + water + nutrients,12.5,41.8,38.2,31_08
71,sm,ambient rain + water + nutrients,18,30,35.8,31_08
72,sm,ambient rain + water + nutrients,14,45.4,35.8,31_08
73,sm,ambient rain + water,14,39.8,33.2,31_08
74,sm,ambient rain + water,17,26.1,31.7,31_08
75,sm,ambient rain + water,16,32.8,37.8,31_08
76,sm,ambient rain + water,20.5,19,28.8,31_08
77,sm,ambient rain + nutrients,7,33,29,31_08
78,sm,ambient rain + nutrients,19,35.2,31.3,31_08
79,sm,ambient rain + nutrients,15,24.4,27,31_08
80,sm,ambient rain + nutrients,15.5,16,13.6,31_08
85,pq,ambient rain,9,30.2,25.8,31_08
86,pq,ambient rain,10,30,23.4,31_08
87,pq,ambient rain,8,37.6,29.5,31_08
88,pq,ambient rain,9.5,32.2,27.9,31_08
89,pq,ambient rain + water + nutrients,8.5,31.9,36,31_08
90,pq,ambient rain + water + nutrients,10.5,33,32.6,31_08
91,pq,ambient rain + water + nutrients,12,20.1,30.7,31_08
92,pq,ambient rain + water + nutrients,13,38.6,30.4,31_08
93,pq,ambient rain + water,11.5,31.2,29.3,31_08
94,pq,ambient rain + water,8,35,25.2,31_08
95,pq,ambient rain + water,9.5,34.6,44.4,31_08
96,pq,ambient rain + water,12,31.4,34,31_08
97,pq,ambient rain + nutrients,10.5,38,24,31_08
98,pq,ambient rain + nutrients,7.5,33.3,33.3,31_08
99,pq,ambient rain + nutrients,7.5,32.8,32.5,31_08
100,pq,ambient rain + nutrients,9,30.5,27.8,31_08
105,gs,ambient rain,12.5,27.6,18.6,31_08
106,gs,ambient rain,13,36.4,24.8,31_08
107,gs,ambient rain,20,35.8,27.7,31_08
108,gs,ambient rain,19,28.4,22,31_08
109,gs,ambient rain + water + nutrients,17.5,29,30,31_08
110,gs,ambient rain + water + nutrients,17.5,29,29.4,31_08
111,gs,ambient rain + water + nutrients,16.5,28.8,28,31_08
112,gs,ambient rain + water + nutrients,14.5,30.9,39,31_08
113,gs,ambient rain + water,15.5,38.1,27.8,31_08
114,gs,ambient rain + water,16,40.5,35,31_08
115,gs,ambient rain + water,15.5,27.3,28.2,31_08
116,gs,ambient rain + water,10.5,21.6,27.6,31_08
117,gs,ambient rain + nutrients,12.5,20.7,14.6,31_08
118,gs,ambient rain + nutrients,17.5,24.1,13.4,31_08
119,gs,ambient rain + nutrients,13.5,17.1,8.9,31_08
120,gs,ambient rain + nutrients,21,18.3,6.4,31_08
125,dt,ambient rain,9.5,38.6,33.3,31_08
126,dt,ambient rain,11.5,40.2,29.7,31_08
127,dt,ambient rain,11,38.8,35.4,31_08
128,dt,ambient rain,11,39.6,31.4,31_08
129,dt,ambient rain + water + nutrients,11,39.3,39.2,31_08
130,dt,ambient rain + water + nutrients,8.5,41.4,32.4,31_08
131,dt,ambient rain + water + nutrients,10,38,28.6,31_08
132,dt,ambient rain + water + nutrients,12.5,29,32.8,31_08
133,dt,ambient rain + water,10,37.4,22.3,31_08
134,dt,ambient rain + water,7,35.8,33.4,31_08
135,dt,ambient rain + water,9,38.3,28.3,31_08
136,dt,ambient rain + water,9.5,39.7,27.2,31_08
137,dt,ambient rain + nutrients,10.5,42.2,29.8,31_08
138,dt,ambient rain + nutrients,8.5,42.4,29,31_08
139,dt,ambient rain + nutrients,11,34.2,28.9,31_08
140,dt,ambient rain + nutrients,9.5,31.1,28.2,31_08
145,to,ambient rain,5,35.8,28.8,31_08
146,to,ambient rain,6,42.1,25.1,31_08
147,to,ambient rain,5,35.2,24.2,31_08
148,to,ambient rain,3,38.8,35.4,31_08
149,to,ambient rain + water + nutrients,5,30.8,23,31_08
150,to,ambient rain + water + nutrients,6,39.6,30,31_08
151,to,ambient rain + water + nutrients,4.5,33.4,24.5,31_08
152,to,ambient rain + water + nutrients,6,34.6,31,31_08
153,to,ambient rain + water,7.5,42,32.1,31_08
154,to,ambient rain + water,6,36.3,25,31_08
155,to,ambient rain + water,6,31.1,33.5,31_08
156,to,ambient rain + water,4.5,30.4,26.7,31_08
157,to,ambient rain + nutrients,4.5,35.4,31.2,31_08
158,to,ambient rain + nutrients,5,30.2,26.4,31_08
159,to,ambient rain + nutrients,4.5,30.2,30.8,31_08
160,to,ambient rain + nutrients,5,32,18.2,31_08
5,ec,ambient rain,22.5,27.4,24.2,19_09
6,ec,ambient rain,28,24.6,24.1,19_09
7,ec,ambient rain,17.5,19.6,20.4,19_09
8,ec,ambient rain,19.5,23.4,21.1,19_09
9,ec,ambient rain + water + nutrients,22.5,29,44,19_09
10,ec,ambient rain + water + nutrients,25.5,24.8,41.9,19_09
11,ec,ambient rain + water + nutrients,26,25.2,37.6,19_09
12,ec,ambient rain + water + nutrients,30.5,17.6,28.6,19_09
13,ec,ambient rain + water,22.5,28,46.9,19_09
14,ec,ambient rain + water,26,25.4,37.1,19_09
15,ec,ambient rain + water,28,28.8,51,19_09
16,ec,ambient rain + water,27.5,26.7,37.8,19_09
17,ec,ambient rain + nutrients,31,8.5,11.5,19_09
18,ec,ambient rain + nutrients,16,31.6,32.7,19_09
19,ec,ambient rain + nutrients,23.5,22.8,23.9,19_09
20,ec,ambient rain + nutrients,28,24.6,26.7,19_09
25,hc,ambient rain,34.5,12.3,11.9,19_09
26,hc,ambient rain,31,7.9,8.6,19_09
27,hc,ambient rain,39,20.8,21.4,19_09
28,hc,ambient rain,25,9.6,9.6,19_09
29,hc,ambient rain + water + nutrients,25,21.4,41.9,19_09
30,hc,ambient rain + water + nutrients,27.5,22,44.2,19_09
31,hc,ambient rain + water + nutrients,41,5.5,24.2,19_09
32,hc,ambient rain + water + nutrients,36,10.2,23.9,19_09
33,hc,ambient rain + water,41,12.8,29,19_09
34,hc,ambient rain + water,28,17,34.2,19_09
35,hc,ambient rain + water,34,7.8,26.2,19_09
36,hc,ambient rain + water,32,21,36.4,19_09
37,hc,ambient rain + nutrients,37,26.2,26.6,19_09
38,hc,ambient rain + nutrients,39,14.1,15.2,19_09
39,hc,ambient rain + nutrients,35,19.6,21.4,19_09
40,hc,ambient rain + nutrients,31,13.8,18.1,19_09
45,sg,ambient rain,10.5,19.6,25.4,19_09
46,sg,ambient rain,7.5,29.1,28,19_09
47,sg,ambient rain,9.5,36.4,34.6,19_09
48,sg,ambient rain,13,27.7,20.6,19_09
49,sg,ambient rain + water + nutrients,10,25.4,35,19_09
50,sg,ambient rain + water + nutrients,9.5,33.2,46,19_09
51,sg,ambient rain + water + nutrients,10.5,33.3,43.8,19_09
52,sg,ambient rain + water + nutrients,12,31.6,46.8,19_09
53,sg,ambient rain + water,11.5,36.8,44.5,19_09
54,sg,ambient rain + water,9,29.2,44.1,19_09
55,sg,ambient rain + water,11,29,41.3,19_09
56,sg,ambient rain + water,10.5,33.6,44,19_09
57,sg,ambient rain + nutrients,12.5,27.2,26.9,19_09
58,sg,ambient rain + nutrients,8,31.4,36,19_09
59,sg,ambient rain + nutrients,10,29,30.2,19_09
60,sg,ambient rain + nutrients,11,31.8,31.1,19_09
65,sm,ambient rain,16,14.2,12.2,19_09
66,sm,ambient rain,20,23.4,26.7,19_09
67,sm,ambient rain,20.5,12.6,13.4,19_09
68,sm,ambient rain,24,12.2,10.8,19_09
69,sm,ambient rain + water + nutrients,17,11.6,32.6,19_09
70,sm,ambient rain + water + nutrients,13.5,31.1,48,19_09
71,sm,ambient rain + water + nutrients,19,10.8,35.5,19_09
72,sm,ambient rain + water + nutrients,16.5,15.2,37,19_09
73,sm,ambient rain + water,15.5,10.7,34.2,19_09
